window_start,window_end,P22_ASM,P12_TGS,P10_TRANS,P100_OVERALL,P24_ACO,P13_TSF,P32_IMO,P23_ATM,P20_ACT,P30_INTER,P31_ICM,P11_TMA,P33_IAM,P21_AMP,speaker
2730.0,2760.0,2,0,5,2,0,0,0,0,1,2,0,0,0,1,CSLPC
2745.0,2775.0,2,1,6,2,0,0,0,0,2,1,0,0,0,1,"CSLPC, HCILab1"
2760.0,2790.0,0,1,1,2,0,0,0,0,1,3,0,0,0,1,"CSLPC, HCILab1"
2775.0,2805.0,0,1,1,3,0,0,0,0,2,3,0,0,0,1,"CSLLaptop, HCILab1"
2790.0,2820.0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,"CSLLaptop, HCILab1"
2805.0,2835.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,HCILab1
2820.0,2850.0,0,0,3,2,0,0,0,0,4,3,0,0,0,0,"HCILab1, HCILab2"
2835.0,2865.0,1,0,6,4,0,2,0,0,4,7,0,0,0,0,"CSLPC, HCILab1, HCILab2"
2850.0,2880.0,1,0,3,2,0,2,0,0,2,4,0,0,0,0,"CSLPC, HCILab1"
2865.0,2895.0,1,0,3,1,0,2,0,0,2,5,0,0,0,0,"CSLPC, HCILab1"
2880.0,2910.0,1,0,3,3,0,2,0,1,2,9,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2895.0,2925.0,1,0,1,3,0,0,0,1,4,11,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
2910.0,2940.0,1,0,2,2,0,0,0,0,4,12,0,1,0,0,"CSLPC, HCILab1"
2925.0,2955.0,1,0,3,3,0,0,0,0,2,11,0,1,0,0,"CSLPC, HCILab1, HCILab2"
2940.0,2970.0,1,0,1,3,0,2,0,0,0,8,0,0,0,0,"CSLPC, HCILab1, HCILab2"
2955.0,2985.0,1,0,1,2,0,2,0,0,2,5,0,0,0,0,"CSLPC, HCILab1, HCILab2"
2970.0,3000.0,1,0,1,1,0,2,0,0,2,3,0,0,0,0,"CSLPC, HCILab1"
2985.0,3015.0,1,1,1,2,0,0,0,0,4,4,0,0,0,0,HCILab1
3000.0,3030.0,0,1,0,3,0,0,0,0,5,6,0,0,0,0,"CSLPC, HCILab1"
3015.0,3045.0,1,0,0,4,0,2,0,0,3,6,0,0,0,0,"CSLPC, HCILab1"
3030.0,3060.0,1,0,0,5,0,2,0,0,0,4,0,0,0,0,"CSLPC, HCILab1"
3045.0,3075.0,2,0,0,2,0,0,0,0,3,1,0,0,0,0,"CSLPC, HCILab1"
3060.0,3090.0,1,0,0,2,0,0,0,0,3,2,0,0,0,1,"CSLLaptop, CSLPC, HCILab1"
3075.0,3105.0,1,0,0,2,0,0,0,0,2,1,0,0,0,1,"CSLLaptop, CSLPC"
3090.0,3120.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,CSLPC
3105.0,3135.0,0,0,0,3,0,0,0,0,2,2,0,0,0,0,CSLPC
3120.0,3150.0,0,0,1,6,0,0,0,1,4,3,0,0,0,0,"CSLLaptop, CSLPC, HCILab2"
3135.0,3165.0,0,0,2,9,0,0,0,1,3,9,0,0,0,0,"CSLLaptop, CSLPC, HCILab2"
3150.0,3180.0,0,0,1,6,0,0,0,0,1,8,0,0,0,0,"CSLLaptop, CSLPC, HCILab2"
3165.0,3195.0,1,0,1,5,0,0,0,0,4,8,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
3180.0,3210.0,1,0,0,1,0,0,0,0,3,5,0,0,1,0,"CSLLaptop, CSLPC, HCILab1"
3195.0,3225.0,1,0,1,4,0,0,0,0,1,5,0,0,1,0,"CSLPC, HCILab1, HCILab2"
3210.0,3240.0,0,0,2,3,0,0,0,0,3,3,0,0,1,0,"CSLPC, HCILab1, HCILab2"
3225.0,3255.0,1,0,4,1,0,1,0,0,5,2,0,0,0,0,HCILab2
3240.0,3270.0,2,0,4,2,0,1,0,0,4,7,0,0,0,0,"CSLLaptop, CSLPC, HCILab2"
3255.0,3285.0,2,0,3,2,0,0,0,0,3,8,0,0,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
3270.0,3300.0,1,0,2,2,0,0,0,0,2,4,0,0,0,0,"CSLPC, HCILab1"
3285.0,3315.0,0,1,1,4,0,0,0,0,3,2,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
3300.0,3330.0,0,2,2,4,0,1,0,0,3,3,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
3315.0,3345.0,0,1,4,1,0,1,0,0,0,3,0,0,0,0,HCILab1
3330.0,3360.0,0,1,5,2,0,1,0,0,1,3,0,0,0,0,HCILab1
3345.0,3375.0,0,0,7,3,0,0,0,1,2,2,0,0,0,0,HCILab1
3360.0,3390.0,0,0,5,3,0,1,0,2,4,2,0,0,0,0,HCILab1
3375.0,3405.0,0,0,3,5,0,1,0,2,2,7,0,0,0,0,"CSLPC, HCILab1"
3390.0,3420.0,0,0,0,4,0,0,0,0,1,6,0,0,0,0,"CSLPC, HCILab1, HCILab2"
3405.0,3435.0,0,0,0,5,0,0,0,0,2,2,0,0,0,0,"CSLPC, HCILab1, HCILab2"
3420.0,3450.0,0,0,1,2,0,0,0,0,4,4,0,0,0,1,"CSLLaptop, HCILab1, HCILab2"
3435.0,3465.0,0,0,2,2,0,0,0,0,5,5,1,0,0,1,"CSLLaptop, HCILab1"
3450.0,3480.0,0,0,4,4,0,0,0,0,5,4,1,0,0,1,HCILab1
3465.0,3495.0,0,0,9,5,0,0,0,1,3,4,0,0,0,1,HCILab1
3480.0,3510.0,0,0,7,6,0,0,0,1,4,3,0,0,0,1,"CSLPC, HCILab1"
3495.0,3525.0,0,0,0,3,0,0,0,0,2,1,0,0,0,1,CSLPC
3510.0,3540.0,0,0,0,2,0,0,0,0,3,2,0,0,0,1,"CSLPC, HCILab1"
3525.0,3555.0,0,0,0,2,0,0,0,0,4,2,0,0,0,1,"CSLPC, HCILab1, HCILab2"
3540.0,3570.0,1,0,1,3,0,2,0,1,3,7,0,0,0,0,"HCILab1, HCILab2"
3555.0,3585.0,1,0,1,6,0,3,0,1,7,9,0,0,0,1,"HCILab1, HCILab2"
3570.0,3600.0,2,0,2,10,0,3,0,1,8,13,0,0,1,1,"CSLLaptop, HCILab1, HCILab2"
3585.0,3615.0,1,0,1,4,0,0,0,0,1,6,0,0,1,0,"CSLLaptop, HCILab1"
3600.0,3630.0,1,0,1,1,0,0,0,0,3,3,0,0,0,0,"CSLLaptop, HCILab1, HCILab2"
3615.0,3645.0,2,0,0,0,0,0,0,0,4,1,0,0,0,0,"HCILab1, HCILab2"
3630.0,3660.0,1,0,1,2,0,0,0,0,5,4,0,1,0,0,"HCILab1, HCILab2"
3645.0,3675.0,1,0,1,3,0,0,0,0,2,5,0,1,0,0,"HCILab1, HCILab2"
3660.0,3690.0,2,0,3,1,0,0,0,0,2,4,0,1,0,0,"HCILab1, HCILab2"
3675.0,3705.0,1,0,3,0,0,0,0,0,5,5,0,0,0,0,"CSLLaptop, CSLPC, HCILab1, HCILab2"
3690.0,3720.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,"CSLLaptop, CSLPC, HCILab1"
3705.0,3735.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,HCILab1
3735.0,3765.0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,"HCILab1, HCILab2"
3750.0,3780.0,0,0,1,2,0,0,0,0,3,2,0,0,0,1,"HCILab1, HCILab2"
3765.0,3795.0,1,0,1,2,0,0,0,0,3,3,0,0,0,1,HCILab1
3780.0,3810.0,2,0,1,1,0,1,0,0,1,9,0,0,0,0,"HCILab1, HCILab2"
3795.0,3825.0,4,0,1,0,0,2,0,0,1,9,0,0,0,0,"CSLPC, HCILab1, HCILab2"
3810.0,3840.0,3,0,3,3,0,2,0,0,3,6,0,0,0,0,"CSLPC, Chris, HCILab1, HCILab2"
3825.0,3855.0,1,0,3,3,0,0,0,0,2,3,0,0,0,0,"CSLPC, Chris, HCILab1"
